year,as_of,observed,obs_top250,coins_obs,tokens_obs,other_obs,new_entrants
2015,2015-12-31,288,245,196,19,73,312
2016,2016-12-31,347,243,256,17,74,152
2017,2017-12-31,582,247,336,54,192,285
2018,2018-12-31,531,243,228,68,235,198
2019,2019-12-31,564,239,213,83,268,164
2020,2020-12-31,627,235,222,139,266,202
2021,2021-12-31,538,234,174,179,185,165
2022,2022-12-31,572,229,180,201,191,58
2023,2023-12-31,547,236,170,205,172,85
2024,2024-12-31,535,237,164,198,173,140
2025,2025-12-31,581,221,159,233,189,147
2026,2026-05-31,540,217,146,207,187,31
