symbol,top_holder,top_bal,flag,dl_qty
API3,0x6dd655f10d4b9e242ae186d9050b68f725c76d76,64354123.91926359,MATCH,64354124
VVV,ERR,,,33279453
ORBS,0x384f5cf955b39b76c47a440f14c31ad39fd39d00,3448436160.62,DIFF,1841059993
BTCST,0x18a144b11fee170230177a481ba5c2532c0279bd,2724297.0458478592,DIFF,5115929
EIGEN,0x22ec52117ad1af18c70e8921d9c2963b00119d40,183871262.27090397,DIFF,296446765
ZBU,,0,DIFF,19652216
PEAK,0x9733f49d577da2b6705ca173382c0e3cdfff2a48,808007927.4934042,DIFF,156870906
IQ,0x75f561f56900f1e9a1978dff65e6bdc01202ee4a,13305132925.525518,DIFF,2416000459
ILV,0x6bd2814426f9a6abaa427d2ad3fc898d2a57adc6,1824000.5841730454,DIFF,664762
KAITO,0x50ffe6019c38e4135fe1f864e4a2561d819dfc7e,300277776.0,DIFF,18221073
MBOX,0x8fa59693458289914db0097f5f366d771b7a7c3f,117013897.06739114,DIFF,24463426
TIME,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,240671.37354125,DIFF,30729
ATH,0xf9d9f4ae37d09d50a279058c008a4fa98b6336b6,12974849993.7561,DIFF,778525581
AKRO,0x5755f61c65c5d39b1d0dc708391b0d4b0693fe68,2609036545.0794735,DIFF,153160346
